year,month,pdsi
1985,1,6.17
1985,2,5.74
1985,3,5.92
1985,4,6.69
1985,5,6.83
1985,6,6.03
1985,7,5.12
1985,8,5.37
1985,9,0
1985,10,7.49
1985,11,6.94
1985,12,5.78
1986,1,4.58
1986,2,3.75
1986,3,3.03
1986,4,2.33
1986,5,2.24
1986,6,3.52
1986,7,3.83
1986,8,3.63
1986,9,0
1986,10,2.76
1986,11,4.44
1986,12,5.5
1987,1,4.92
1987,2,4.56
1987,3,4.49
1987,4,4.49
1987,5,4.67
1987,6,5.6
1987,7,4.54
1987,8,5.55
1987,9,0
1987,10,3.38
1987,11,3.02
1987,12,3.59
1988,1,3.17
1988,2,3.52
1988,3,3.49
1988,4,3.34
1988,5,2.78
1988,6,2.33
1988,7,2.55
1988,8,3.8
1988,9,0
1988,10,2.59
1988,11,1.71
1988,12,1.68
1989,1,1.47
1989,2,1.33
1989,3,0.68
1989,4,-0.45
1989,5,-0.94
1989,6,-1.92
1989,7,-1.79
1989,8,-0.62
1989,9,0
1989,10,-1.56
1989,11,-2.02
1989,12,-1.72
1990,1,-1.61
1990,2,-1.53
1990,3,-1.31
1990,4,-0.92
1990,5,-1.01
1990,6,-1.76
1990,7,-0.33
1990,8,1
1990,9,0
1990,10,2.26
1990,11,2.26
1990,12,1.96
1991,1,1.79
1991,2,1.75
1991,3,1.69
1991,4,0.97
1991,5,0.53
1991,6,-0.34
1991,7,1.29
1991,8,2.54
1991,9,0
1991,10,2.2
1991,11,2.03
1991,12,4.85
1992,1,5.67
1992,2,5.09
1992,3,5.21
1992,4,5.97
1992,5,8.97
1992,6,8.87
1992,7,7.74
1992,8,6.5
1992,9,0
1992,10,4.65
1992,11,3.82
1992,12,4.19
1993,1,5.27
1993,2,4.85
1993,3,4.56
1993,4,4.21
1993,5,3.8
1993,6,3.12
1993,7,2.96
1993,8,3.64
1993,9,0
1993,10,1.88
1993,11,1.62
1993,12,1.39
1994,1,0.51
1994,2,-0.39
1994,3,-1.2
1994,4,-1.42
1994,5,-1.09
1994,6,-1.84
1994,7,-2.2
1994,8,-2.88
1994,9,0
1994,10,-3.09
1994,11,-1.81
1994,12,-0.44
1995,1,0.25
1995,2,0.45
1995,3,0.29
1995,4,0.07
1995,5,-0.33
1995,6,-0.74
1995,7,-1.26
1995,8,-1.92
1995,9,0
1995,10,-1.7
1995,11,-2.24
1995,12,-2.61
1996,1,-2.72
1996,2,-3.37
1996,3,-3.66
1996,4,-3.32
1996,5,-3.71
1996,6,-2.56
1996,7,-1.97
1996,8,-2.16
1996,9,0
1996,10,-0.84
1996,11,-1.18
1996,12,-2.1
1997,1,-1.69
1997,2,-1.29
1997,3,-1.24
1997,4,-1.27
