"year","smoothed_pdo","smoothed_nino","smoothed_pdsi","smoothed_spei","smoothed_temp","smoothed_yearlyppt","smoothed_summerppt","smoothed_winterppt"
1986,0.542922645891619,-0.0334163387124266,0.373148642911967,0.150047548055812,14.8397769232067,279.614221755267,174.59900254334,88.599943315041
1987,0.566015454032509,-0.0318310263040543,0.369565486634881,0.141942926820474,14.859944679678,280.183156771093,174.96129334359,88.6641832032024
1988,0.580440944635385,-0.0302310697743737,0.365982164858187,0.132401125157049,14.8809414544538,280.557061949311,175.26803353028,88.7284207118765
1989,0.585810340969414,-0.0286173603209314,0.36239867814072,0.121466016441662,14.9027262301624,280.734261642172,175.518451218316,88.7926558360221
1990,0.581913880612289,-0.0269907182892432,0.358815029174904,0.109194760250633,14.9252544208592,280.714823467866,175.712026117504,88.8568885919905
1991,0.568744256740581,-0.0253518824160525,0.355231222696992,0.0956574914344543,14.9484784633208,280.500609149487,175.84849748281,88.921119017658
1992,0.546514898413349,-0.0237015015523968,0.35164726537402,0.0809367908308483,14.9723484480978,280.09529714917,175.927871504161,88.9853471721708
1993,0.515671828392335,-0.0220401292855338,0.348063165665507,0.0651269105580034,14.9968127774118,279.504372418431,175.950427487054,89.0495731352793
1994,0.476898053685629,-0.0203682217766335,0.344478933658472,0.0483327338350554,15.0218188363534,278.735079491367,175.916722174942,89.1137970062495
1995,0.431109719749845,-0.0186861390125164,0.34089458087517,0.0306684582978549,15.0473136636362,277.796336312198,175.827591597663,89.178018902352
1996,0.379443583962679,-0.0169941495389076,0.337310120053874,0.0122560024890089,15.0732446083752,276.698607570533,175.684149895255,89.2422389569411
1997,0.323235725799854,-0.015292438604454,0.333725564904216,-0.00677685278248406,15.0995599599949,275.453737867061,175.48778466027,89.3064573171535
1998,0.263991792454093,-0.0135811195047879,0.33014092983981,-0.0262985638352,15.1262095393572,274.074746671327,175.240148458196,89.3706741412668
1999,0.203349464669261,-0.0118602477794833,0.326556229692149,-0.0461761270471175,15.1531452405103,272.575588697859,174.943146319577,89.4348895957738
2000,0.143034200345097,-0.0101298377873975,0.322971479411038,-0.0662775357690396,15.180321514016,270.970884937069,174.598919141777,89.4991038522412
2001,0.0848096567191745,-0.00838988107270416,0.319386693757925,-0.0864743304093459,15.2076957845506,269.275631060725,174.209823086131,89.5633170840286
2002,0.0304244889190484,-0.00664036583966927,0.31580188699953,-0.106644171333992,15.2352287973089,267.50489120277,173.778405199927,89.6275294629574
2003,-0.0184425391300496,-0.00488129678263662,0.312217072609886,-0.126673356838955,15.2628848896089,265.673486138788,173.307375625997,89.6917411560197
2004,-0.0602370288029436,-0.00311271447197387,0.308632262989428,-0.146459203707053,15.29063218591,263.795685592943,172.799576878863,89.7559523222243
2005,-0.093580816250904,-0.00133471347888644,0.30504746920994,-0.165912206055458,15.3184427161526,261.884914752562,172.257950760248,89.8201631096734
2006,-0.117319044253681,0.000452541567242309,0.301462700794023,-0.184957889452658,15.346292458863,259.953485049194,171.68550355462,89.8843736529629
2007,-0.130560326213083,0.00224880275605107,0.297877965537281,-0.203538281734122,15.3741613117699,258.012358858203,171.085270183879,89.9485840709894
2008,-0.132708056922037,0.00405372920888449,0.294293269380568,-0.221612929407856,15.4020329937394,256.070956994375,170.460278008657,90.0127944652396
2009,-0.123481165669913,0.00586688153749704,0.290708616338602,-0.239159398782776,15.4298948826227,254.137016765016,169.813510941922,90.0770049186244
2010,-0.102922913667025,0.0076877209483643,0.2871240084898,-0.256173213564603,15.4577377941223,252.216506931541,169.147874490606,90.1412154949057
2011,-0.07139669514761,0.00951561336553808,0.283539446030692,-0.272667195077864,15.4855557070366,250.313604291295,168.466162266341,90.2054262387468
2012,-0.0295681947987117,0.0113498388079095,0.279954927396528,-0.288670186916274,15.5133454402462,248.430734790479,167.771024411095,90.269637176402
2013,0.0216263369725191,0.0131896061156203,0.276370449447972,-0.304225161900603,15.5411062866036,246.568680209192,167.064938273779,90.3338483170413
2014,0.0810255240455333,0.0150340729815759,0.272786007722049,-0.319386725003003,15.5688396085112,244.726749606873,166.350181555725,90.3980596546923
2015,0.147301472884355,0.0168823711144519,0.269201596743952,-0.334218040531841,15.5965483994696,242.903012980255,165.62880802372,90.4622711707626
2016,0.219030666577409,0.0187336362457527,0.265617210394912,-0.348787224627507,15.6242368152829,241.094593053798,164.90262577546,90.5264828370975
2017,0.294775994902589,0.0205870426024748,0.262032842330287,-0.363163254053428,15.6519096779894,239.298009904409,164.173177942796,90.5906946195124
2018,0.373178584497759,0.0224418414040052,0.258448486441345,-0.377411448931316,15.6795719549407,237.509572274661,163.441725637089,90.6549064817379
2019,0.453058012215134,0.0242974029137501,0.254864137353953,-0.391588589487117,15.7072282148625,235.725809064584,162.709232888126,90.7191183897105
2020,0.533519516437355,0.026153261586626,0.251279790957661,-0.405737724801934,15.7348820621755,233.943934645102,161.976353305851,90.7833303161454
