system:index,AFGC,BG,BUFF_DIST,LTR,NAME,OBJECTID,OBJECTID_1,ORIG_FID,PFGC,POINT_X,POINT_Y,SHR,Shape_Area,Shape_Leng,TREE
1989_00000000000000000025,5.368932039,18.81553398,10,7.45631068,J9,38,38,37,57.90291262,338152.78,3608089.5,2.27184466,314.1592654,62.83185307,0
1989_00000000000000000026,0,28,10,6,K1,39,39,38,56,337143.5,3610971.5,7,314.1592654,62.83185307,0
1989_00000000000000000027,1.333333333,40.96190476,10,13.54285714,K3,40,40,39,35.43809524,337971.28,3612407,8.695238095,314.1592654,62.83185307,0
1989_00000000000000000028,0,51.75728155,10,12.25242718,K4,41,41,40,18.23300971,338352.69,3613102.5,12.25242718,314.1592654,62.83185307,2
1989_00000000000000000029,2,48,10,11,L1,42,42,41,29,337528.59,3609797.5,7,314.1592654,62.83185307,1
1989_0000000000000000002a,2.019047619,38.96190476,10,12.01904762,L2,43,43,42,40.94285714,338305.66,3609395.5,5.019047619,314.1592654,62.83185307,2
1989_0000000000000000002b,4,31,10,7,L3,44,44,43,46,339007.22,3608934.5,5,314.1592654,62.83185307,0
1989_0000000000000000002c,3.805555556,31.77777778,10,7,L3A,45,45,44,45.22222222,339007.25,3608933,5.12962963,314.1592654,62.83185307,0
1989_0000000000000000002d,1,33,10,8,L4,46,46,45,32,339762.38,3608544,9,314.1592654,62.83185307,0
1989_0000000000000000002e,0,52.63366337,10,10.67326733,L5,47,47,46,27.74257426,340537.59,3608156.5,6.663366337,314.1592654,62.83185307,1.326732673
1989_0000000000000000002f,1.885714286,21.59047619,10,6.2,M5,48,48,47,41.39047619,335475.59,3595839,9.885714286,314.1592654,62.83185307,1.066666667
1989_00000000000000000030,1.742857143,21.46666667,10,8.352380952,M6,49,49,48,38.44761905,335473.88,3595795.75,9.99047619,314.1592654,62.83185307,2.60952381
1989_00000000000000000031,0,43.77777778,10,9,MG1,50,50,49,21.05555556,336305.13,3615267.75,12.11111111,314.1592654,62.83185307,1
